student_id,Accounting_Score,Business_Studies_Score,Economics_Score,Attendance_Percentage,Subject_Average,risk_level
COM0001,75.0,70.5,45.4,79.4,63.64,Medium Risk
COM0002,62.6,60.5,73.4,87.1,65.53,Low Risk
COM0003,82.7,80.0,80.0,71.5,80.91,Medium Risk
COM0004,82.4,70.6,81.9,70.4,78.3,Medium Risk
COM0005,79.0,61.4,78.7,56.3,73.04,Medium Risk
COM0006,56.5,57.3,45.5,69.8,53.1,High Risk
COM0007,89.1,73.8,51.8,86.3,71.54,Low Risk
COM0008,87.8,73.1,65.2,70.9,75.37,Medium Risk
COM0009,60.4,56.0,67.4,85.8,61.27,High Risk
COM0010,60.4,78.7,49.8,83.3,62.93,Low Risk
COM0011,67.3,72.7,56.1,90.3,65.39,Medium Risk
COM0012,35.5,37.9,44.3,85.2,39.26,High Risk
COM0013,61.9,57.3,65.6,72.7,61.61,Medium Risk
COM0014,61.5,70.5,62.2,66.9,64.75,Medium Risk
COM0015,67.6,66.3,55.6,86.9,63.15,Medium Risk
COM0016,49.7,65.2,43.9,64.6,52.94,Medium Risk
COM0017,100.0,84.9,88.6,84.1,91.18,Low Risk
COM0018,61.3,57.4,73.8,98.1,64.16,Low Risk
COM0019,53.0,43.5,45.0,62.9,47.19,High Risk
COM0020,52.1,44.2,41.0,98.7,45.75,High Risk
COM0021,40.8,63.3,49.5,80.8,51.18,High Risk
COM0022,54.5,43.6,58.9,68.9,52.34,Medium Risk
COM0023,55.8,72.1,55.1,65.4,60.99,High Risk
COM0024,77.3,68.3,85.1,69.4,76.93,Medium Risk
COM0025,76.9,61.9,77.0,87.0,71.93,Low Risk
COM0026,56.3,66.0,50.3,53.5,57.54,High Risk
COM0027,90.5,66.4,54.4,68.4,70.47,Low Risk
COM0028,94.5,66.8,65.6,79.7,75.63,Medium Risk
COM0029,62.2,45.3,49.5,88.8,52.34,Medium Risk
COM0030,87.1,86.4,65.1,79.2,79.51,Low Risk
COM0031,65.8,79.0,62.5,77.8,69.09,Low Risk
COM0032,49.8,55.3,68.3,87.2,57.83,High Risk
COM0033,67.5,60.6,46.8,89.3,58.31,Medium Risk
COM0034,54.0,64.8,70.8,91.9,63.19,Medium Risk
COM0035,74.4,66.5,69.8,85.6,70.26,Low Risk
COM0036,60.8,70.2,70.6,79.2,67.17,Medium Risk
COM0037,63.7,58.3,65.5,79.3,62.5,Medium Risk
COM0038,49.0,52.7,29.5,92.2,43.73,High Risk
COM0039,79.6,55.5,81.1,67.9,72.07,Low Risk
COM0040,74.5,62.9,55.2,74.8,64.19,Medium Risk
COM0041,48.1,47.8,82.4,74.5,59.41,High Risk
COM0042,65.6,76.0,63.2,89.6,68.27,Medium Risk
COM0043,88.5,42.8,75.0,86.5,68.8,Low Risk
COM0044,92.8,78.5,68.1,84.8,79.8,Low Risk
COM0045,72.5,66.3,98.2,96.9,78.98,Low Risk
COM0046,70.4,83.0,55.9,74.9,69.76,High Risk
COM0047,62.5,64.8,73.9,75.5,67.03,Low Risk
COM0048,71.2,89.6,82.1,91.3,80.95,Low Risk
COM0049,42.5,52.2,58.5,60.0,51.04,High Risk
COM0050,53.5,31.8,53.6,65.6,46.32,High Risk
COM0051,40.0,30.7,33.4,94.1,34.71,High Risk
COM0052,65.9,66.7,36.2,58.0,56.27,Medium Risk
COM0053,89.6,73.6,91.2,93.7,84.81,Low Risk
COM0054,57.8,61.9,59.3,95.7,59.64,Low Risk
COM0055,57.0,46.8,18.1,69.8,40.62,High Risk
COM0056,66.9,63.1,66.4,67.2,65.48,High Risk
COM0057,54.0,50.6,55.5,76.4,53.39,High Risk
COM0058,28.5,50.4,25.0,66.7,34.63,High Risk
COM0059,85.2,81.9,61.5,81.9,76.22,Low Risk
COM0060,40.2,38.1,35.6,74.1,37.96,High Risk
COM0061,57.1,66.1,83.0,59.7,68.74,Medium Risk
COM0062,75.0,72.1,75.9,60.3,74.32,Low Risk
COM0063,59.1,67.2,76.9,85.5,67.76,Medium Risk
COM0064,83.8,100.0,95.7,83.2,93.17,Low Risk
COM0065,67.9,63.9,58.5,86.2,63.44,Medium Risk
COM0066,99.9,100.0,69.9,100.0,89.94,Low Risk
COM0067,63.5,48.9,54.2,73.0,55.53,High Risk
COM0068,42.1,43.5,44.0,99.5,43.18,Medium Risk
