Task,Model,Version,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Weighted F1 Score,Best CV Balanced Accuracy,Best Parameters,CV Folds
Commerce Risk,Logistic Regression,Baseline,0.7333,0.7357,0.7358,0.7357,0.7357,0.7357,0.7338,,,
Commerce Risk,Logistic Regression,Tuned,0.7306,0.7324,0.7334,0.7324,0.7328,0.7328,0.7312,0.7246,"{""model__C"": 0.1, ""model__solver"": ""lbfgs""}",5.0
Commerce Risk,Random Forest,Tuned,0.7139,0.7131,0.7299,0.7131,0.7193,0.7193,0.7172,0.6937,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",5.0
Commerce Risk,Random Forest,Baseline,0.7,0.6954,0.7116,0.6954,0.7011,0.7011,0.7025,,,
Commerce Risk,Decision Tree,Baseline,0.6889,0.6893,0.7104,0.6893,0.6951,0.6951,0.6939,,,
Commerce Risk,Decision Tree,Tuned,0.6833,0.6849,0.7047,0.6849,0.6905,0.6905,0.688,0.652,"{""model__criterion"": ""entropy"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2}",5.0
Pass/Fail Risk,Logistic Regression,Tuned,0.75,0.7522,0.8188,0.7401,0.7774,0.7461,0.7518,0.7366,"{""model__C"": 0.1, ""model__solver"": ""liblinear""}",5.0
Pass/Fail Risk,Logistic Regression,Baseline,0.75,0.7509,0.8148,0.7458,0.7788,0.7457,0.7517,,,
Pass/Fail Risk,Random Forest,Tuned,0.73,0.7265,0.7857,0.7458,0.7652,0.7238,0.7312,0.7435,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}",5.0
Pass/Fail Risk,Random Forest,Baseline,0.7233,0.7035,0.7423,0.8136,0.7763,0.7069,0.7194,,,
Pass/Fail Risk,Decision Tree,Tuned,0.71,0.6935,0.7394,0.7853,0.7616,0.6957,0.7076,0.7063,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2}",5.0
Pass/Fail Risk,Decision Tree,Baseline,0.68,0.6866,0.7718,0.6497,0.7055,0.6776,0.6826,,,
xAPI Benchmark,Random Forest,Baseline,0.8021,0.8046,0.8139,0.8046,0.8074,0.8074,0.8016,,,
xAPI Benchmark,Logistic Regression,Baseline,0.7708,0.795,0.7701,0.795,0.7765,0.7765,0.7672,,,
xAPI Benchmark,Logistic Regression,Tuned,0.7604,0.7889,0.7599,0.7889,0.7672,0.7672,0.755,0.7572,"{""model__C"": 0.1, ""model__solver"": ""lbfgs""}",5.0
xAPI Benchmark,Random Forest,Tuned,0.7604,0.7781,0.7603,0.7781,0.7671,0.7671,0.7582,0.8012,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}",5.0
xAPI Benchmark,Decision Tree,Baseline,0.75,0.7632,0.7575,0.7632,0.7559,0.7559,0.7469,,,
xAPI Benchmark,Decision Tree,Tuned,0.6771,0.7022,0.6794,0.7022,0.6878,0.6878,0.6727,0.7489,"{""model__criterion"": ""entropy"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5}",5.0
