mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Task,Model,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators
0.0025074005126953123,0.00019626060186914797,0.0008830547332763672,3.971781612582214e-05,0.1,lbfgs,"{'model__C': 0.1, 'model__solver': 'lbfgs'}",0.7217591261856855,0.6955727487642381,0.7667096496883731,0.7526327100795185,0.7298517085751128,0.7333051886585855,0.024732109512384134,2,0.7411347517730497,0.7518091184048392,0.7274000224039431,0.7309398454127927,0.7335947126694298,0.7369756901328108,0.008681983996465994,Pass/Fail Risk,Logistic Regression,,,,,,
0.0021596431732177736,0.0002043434666389588,0.0008347034454345703,7.94033382239089e-05,0.1,liblinear,"{'model__C': 0.1, 'model__solver': 'liblinear'}",0.7182379994251222,0.7006232538147432,0.7667096496883731,0.7627337201805287,0.7349022136256178,0.736641367346877,0.02539261935408403,1,0.7397378035675908,0.7486501624285874,0.7265150666517307,0.7300548896605803,0.7352414024868377,0.7360398649590654,0.007744334789518,Pass/Fail Risk,Logistic Regression,,,,,,
0.0023756504058837892,0.00012428743835136521,0.0008623600006103516,0.00011016166502946514,1.0,lbfgs,"{'model__C': 1.0, 'model__solver': 'lbfgs'}",0.7147168726645587,0.697077154523963,0.7631635503975929,0.7591876208897486,0.7263056092843327,0.7320901615520392,0.02553832676492171,3,0.7415108532129808,0.7495351181807999,0.7291699339083679,0.7279041111235578,0.7344796684216421,0.7365199369694697,0.008083586860621324,Pass/Fail Risk,Logistic Regression,,,,,,
0.0020789623260498045,6.959885497590588e-05,0.0008034706115722656,3.205714898272733e-05,1.0,liblinear,"{'model__C': 1.0, 'model__solver': 'liblinear'}",0.7147168726645587,0.697077154523963,0.7631635503975929,0.7591876208897486,0.7263056092843327,0.7320901615520392,0.02553832676492171,3,0.7415108532129808,0.7495351181807999,0.7291699339083679,0.7279041111235578,0.7344796684216421,0.7365199369694697,0.008083586860621324,Pass/Fail Risk,Logistic Regression,,,,,,
0.002235603332519531,5.7276340853877124e-05,0.0007941246032714844,1.5265791001739356e-05,10.0,lbfgs,"{'model__C': 10.0, 'model__solver': 'lbfgs'}",0.7147168726645587,0.697077154523963,0.7631635503975929,0.7591876208897486,0.7263056092843327,0.7320901615520392,0.02553832676492171,3,0.7415108532129808,0.75080094096561,0.7279041111235578,0.7279041111235578,0.7344796684216421,0.7365199369694697,0.008734803098512756,Pass/Fail Risk,Logistic Regression,,,,,,
0.00200653076171875,2.1048998645272463e-05,0.0007818222045898437,1.947247894121731e-05,10.0,liblinear,"{'model__C': 10.0, 'model__solver': 'liblinear'}",0.7147168726645587,0.697077154523963,0.7631635503975929,0.7591876208897486,0.7263056092843327,0.7320901615520392,0.02553832676492171,3,0.7415108532129808,0.7520667637504201,0.7279041111235578,0.7279041111235578,0.7344796684216421,0.7367731015264317,0.009153362357118106,Pass/Fail Risk,Logistic Regression,,,,,,
0.0024824142456054688,0.00030564793182922086,0.0008333683013916016,4.017041049919207e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7088962345501582,0.6479690522243713,0.7342574683000215,0.7045991833225875,0.6828927573608425,0.6957229391515961,0.028921551273656247,20,0.7542177090049431,0.7442253836675254,0.7428475411672455,0.74208580710205,0.7477540047048281,0.7462260891293184,0.004444319029605376,Pass/Fail Risk,Decision Tree,gini,3,1.0,2.0,,
0.0022169113159179687,5.155480793790418e-05,0.0007645130157470703,1.0412752319721219e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.7088962345501582,0.6479690522243713,0.7342574683000215,0.7045991833225875,0.6828927573608425,0.6957229391515961,0.028921551273656247,20,0.7542177090049431,0.7442253836675254,0.7428475411672455,0.74208580710205,0.7477540047048281,0.7462260891293184,0.004444319029605376,Pass/Fail Risk,Decision Tree,gini,3,1.0,5.0,,
0.002294921875,7.251760446637612e-05,0.0008427619934082032,7.072644452182029e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7088962345501582,0.6479690522243713,0.7342574683000215,0.7045991833225875,0.6828927573608425,0.6957229391515961,0.028921551273656247,20,0.7542177090049431,0.7442253836675254,0.7428475411672455,0.74208580710205,0.7477540047048281,0.7462260891293184,0.004444319029605376,Pass/Fail Risk,Decision Tree,gini,3,1.0,10.0,,
0.0022814273834228516,7.040367826015787e-05,0.0007979393005371094,2.5405801452182545e-05,,,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.7088962345501582,0.6479690522243713,0.7342574683000215,0.7045991833225875,0.6828927573608425,0.6957229391515961,0.028921551273656247,20,0.7542177090049431,0.7442253836675254,0.7428475411672455,0.74208580710205,0.7477540047048281,0.7462260891293184,0.004444319029605376,Pass/Fail Risk,Decision Tree,gini,3,2.0,2.0,,
