Model,Importance Type,Feature,Value
Decision Tree,feature_importance,StudentAbsenceDays_Above-7,0.3414712139389307
Decision Tree,feature_importance,raisedhands,0.18313531927923193
Decision Tree,feature_importance,VisITedResources,0.17031489634364552
Decision Tree,feature_importance,Discussion,0.044439021583950376
Decision Tree,feature_importance,AnnouncementsView,0.036370035666685334
Decision Tree,feature_importance,ParentschoolSatisfaction_Good,0.03614494833618675
Decision Tree,feature_importance,Relation_Mum,0.02445751216241287
Decision Tree,feature_importance,GradeID_G-04,0.01840962590084502
Decision Tree,feature_importance,NationalITy_KW,0.018335337745998204
Decision Tree,feature_importance,gender_M,0.018305970396466142
Decision Tree,feature_importance,GradeID_G-08,0.013369458619140365
Decision Tree,feature_importance,ParentAnsweringSurvey_No,0.012786274852146234
Decision Tree,feature_importance,SectionID_B,0.010007545553380437
Decision Tree,feature_importance,Relation_Father,0.009988187693510892
Decision Tree,feature_importance,ParentschoolSatisfaction_Bad,0.009624208393369317
Decision Tree,feature_importance,PlaceofBirth_Jordan,0.009605324772889156
Decision Tree,feature_importance,GradeID_G-06,0.008457680531918785
Decision Tree,feature_importance,ParentAnsweringSurvey_Yes,0.00719317132848819
Decision Tree,feature_importance,NationalITy_SaudiArabia,0.006320259391327001
Decision Tree,feature_importance,PlaceofBirth_SaudiArabia,0.006094794843806811
Decision Tree,feature_importance,Topic_Science,0.0057230756237285855
Decision Tree,feature_importance,Topic_Chemistry,0.005221836992172553
Decision Tree,feature_importance,Semester_S,0.004224300049768842
Decision Tree,feature_importance,Topic_French,4.631333345320136e-17
Decision Tree,feature_importance,gender_F,0.0
Decision Tree,feature_importance,NationalITy_Egypt,0.0
Decision Tree,feature_importance,NationalITy_Iran,0.0
Decision Tree,feature_importance,NationalITy_Iraq,0.0
Decision Tree,feature_importance,NationalITy_Jordan,0.0
Decision Tree,feature_importance,NationalITy_Lybia,0.0
Decision Tree,feature_importance,NationalITy_Morocco,0.0
Decision Tree,feature_importance,NationalITy_Palestine,0.0
Decision Tree,feature_importance,NationalITy_Syria,0.0
Decision Tree,feature_importance,NationalITy_Tunis,0.0
Decision Tree,feature_importance,NationalITy_USA,0.0
Decision Tree,feature_importance,NationalITy_lebanon,0.0
Decision Tree,feature_importance,NationalITy_venzuela,0.0
Decision Tree,feature_importance,PlaceofBirth_Egypt,0.0
Decision Tree,feature_importance,PlaceofBirth_Iran,0.0
Decision Tree,feature_importance,PlaceofBirth_Iraq,0.0
Decision Tree,feature_importance,PlaceofBirth_KuwaIT,0.0
Decision Tree,feature_importance,PlaceofBirth_Lybia,0.0
Decision Tree,feature_importance,PlaceofBirth_Morocco,0.0
Decision Tree,feature_importance,PlaceofBirth_Palestine,0.0
Decision Tree,feature_importance,PlaceofBirth_Syria,0.0
Decision Tree,feature_importance,PlaceofBirth_Tunis,0.0
Decision Tree,feature_importance,PlaceofBirth_USA,0.0
Decision Tree,feature_importance,PlaceofBirth_lebanon,0.0
Decision Tree,feature_importance,PlaceofBirth_venzuela,0.0
Decision Tree,feature_importance,StageID_HighSchool,0.0
Decision Tree,feature_importance,StageID_MiddleSchool,0.0
Decision Tree,feature_importance,StageID_lowerlevel,0.0
Decision Tree,feature_importance,GradeID_G-02,0.0
Decision Tree,feature_importance,GradeID_G-05,0.0
Decision Tree,feature_importance,GradeID_G-07,0.0
Decision Tree,feature_importance,GradeID_G-09,0.0
Decision Tree,feature_importance,GradeID_G-10,0.0
Decision Tree,feature_importance,GradeID_G-11,0.0
Decision Tree,feature_importance,GradeID_G-12,0.0
Decision Tree,feature_importance,SectionID_A,0.0
Decision Tree,feature_importance,SectionID_C,0.0
Decision Tree,feature_importance,Topic_Arabic,0.0
Decision Tree,feature_importance,Topic_Biology,0.0
Decision Tree,feature_importance,Topic_English,0.0
Decision Tree,feature_importance,Topic_Geology,0.0
Decision Tree,feature_importance,Topic_History,0.0
Decision Tree,feature_importance,Topic_IT,0.0
Decision Tree,feature_importance,Topic_Math,0.0
Decision Tree,feature_importance,Topic_Quran,0.0
Decision Tree,feature_importance,Topic_Spanish,0.0
Decision Tree,feature_importance,Semester_F,0.0
Decision Tree,feature_importance,StudentAbsenceDays_Under-7,0.0
Logistic Regression,mean_absolute_coefficient,StudentAbsenceDays_Above-7,0.18526803586316984
Logistic Regression,mean_absolute_coefficient,StudentAbsenceDays_Under-7,0.18526803586316984
Logistic Regression,mean_absolute_coefficient,VisITedResources,0.16950746064972985
Logistic Regression,mean_absolute_coefficient,raisedhands,0.15526966380978713
Logistic Regression,mean_absolute_coefficient,AnnouncementsView,0.11944392215102938
Logistic Regression,mean_absolute_coefficient,Discussion,0.08993538620553337
Logistic Regression,mean_absolute_coefficient,Relation_Father,0.08681456744711469
Logistic Regression,mean_absolute_coefficient,Relation_Mum,0.08681456744711469
Logistic Regression,mean_absolute_coefficient,ParentAnsweringSurvey_No,0.08119466615672534
Logistic Regression,mean_absolute_coefficient,ParentAnsweringSurvey_Yes,0.08119466615672534
Logistic Regression,mean_absolute_coefficient,Topic_Biology,0.06149032664109657
Logistic Regression,mean_absolute_coefficient,ParentschoolSatisfaction_Bad,0.05774756154849368
Logistic Regression,mean_absolute_coefficient,ParentschoolSatisfaction_Good,0.05774756154849368
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_SaudiArabia,0.05475198546753202
Logistic Regression,mean_absolute_coefficient,Topic_Geology,0.051020002753389866
Logistic Regression,mean_absolute_coefficient,gender_F,0.04804391770325181
Logistic Regression,mean_absolute_coefficient,gender_M,0.04804391770325181
Logistic Regression,mean_absolute_coefficient,GradeID_G-06,0.04581049240282195
Logistic Regression,mean_absolute_coefficient,Topic_Chemistry,0.04574881329167452
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Jordan,0.04211672791728314
Logistic Regression,mean_absolute_coefficient,Topic_English,0.0347869931675118
Logistic Regression,mean_absolute_coefficient,NationalITy_SaudiArabia,0.034672876364390294
Logistic Regression,mean_absolute_coefficient,NationalITy_Lybia,0.03444548672905399
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Lybia,0.03444548672905399
Logistic Regression,mean_absolute_coefficient,Topic_Arabic,0.034433566851652726
Logistic Regression,mean_absolute_coefficient,NationalITy_KW,0.03200774191486736
Logistic Regression,mean_absolute_coefficient,StageID_lowerlevel,0.031797788066348524
Logistic Regression,mean_absolute_coefficient,NationalITy_Iraq,0.03137210655572754
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Iraq,0.03137210655572754
Logistic Regression,mean_absolute_coefficient,GradeID_G-09,0.031005573137104548
Logistic Regression,mean_absolute_coefficient,Topic_Quran,0.03071174195118565
Logistic Regression,mean_absolute_coefficient,GradeID_G-02,0.029351054657294085
Logistic Regression,mean_absolute_coefficient,NationalITy_Palestine,0.02778905384505512
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Tunis,0.02762845765423169
Logistic Regression,mean_absolute_coefficient,StageID_MiddleSchool,0.027210200491519097
Logistic Regression,mean_absolute_coefficient,Topic_IT,0.02685068853742642
Logistic Regression,mean_absolute_coefficient,Topic_Science,0.026607124711963564
Logistic Regression,mean_absolute_coefficient,SectionID_C,0.02656959330316691
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_KuwaIT,0.025980979696294634
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Egypt,0.024669925491014395
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_lebanon,0.0233060899735659
Logistic Regression,mean_absolute_coefficient,Topic_French,0.02279477433425739
Logistic Regression,mean_absolute_coefficient,SectionID_B,0.02200790806943566
Logistic Regression,mean_absolute_coefficient,GradeID_G-08,0.021832823995926783
Logistic Regression,mean_absolute_coefficient,NationalITy_Iran,0.020766199683815982
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Iran,0.020766199683815982
Logistic Regression,mean_absolute_coefficient,Topic_Math,0.019619454321965046
Logistic Regression,mean_absolute_coefficient,GradeID_G-04,0.01955198123565757
Logistic Regression,mean_absolute_coefficient,GradeID_G-05,0.01937994475088726
Logistic Regression,mean_absolute_coefficient,NationalITy_USA,0.01897864550463865
Logistic Regression,mean_absolute_coefficient,Topic_History,0.018854365951001276
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_USA,0.01869376244727096
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_Palestine,0.017783326951765644
Logistic Regression,mean_absolute_coefficient,GradeID_G-10,0.01709507751552721
Logistic Regression,mean_absolute_coefficient,NationalITy_lebanon,0.016726445658739944
Logistic Regression,mean_absolute_coefficient,NationalITy_venzuela,0.01569743402312306
Logistic Regression,mean_absolute_coefficient,PlaceofBirth_venzuela,0.01569743402312306
Logistic Regression,mean_absolute_coefficient,GradeID_G-11,0.01490231881589176
Logistic Regression,mean_absolute_coefficient,NationalITy_Egypt,0.014822418832124604
Logistic Regression,mean_absolute_coefficient,Topic_Spanish,0.013984807578082055
